"Indicator","Country Coverage","Year Coverage","Flag Continuity","Flag Country Coverage","Flag Year Coverage","Year Range","Percentage of Complete Records","Percentage of Complete Records in Last Five Years","Mean","Median","Standard Deviation","Minimum","Maximum","Static Valid Years","Dynamic Valid Years","Static Country Coverage","Dynamic Country Coverage","family_var","family_name"
"wb_pefa_pi_2016_20",61,7,1,0,1,"2015-2021","0.7%",NA,2.8,2.5,0.91,1.5,4,0,2,7,29,"vars_pfm","Public Finance Institutions"
"wb_pefa_pi_2016_21",61,7,1,0,1,"2015-2021","0.7%",NA,2.92,3,0.72,1.5,4,0,2,7,29,"vars_pfm","Public Finance Institutions"
"wb_pefa_pi_2016_22",61,7,1,0,1,"2015-2021","0.7%",NA,1.71,1.5,0.92,1,4,0,2,7,29,"vars_pfm","Public Finance Institutions"
"wb_pefa_pi_2016_23",61,7,1,0,1,"2015-2021","0.7%",NA,2.24,2.5,0.81,1,4,0,2,7,29,"vars_pfm","Public Finance Institutions"
"wb_pefa_pi_2016_24",61,7,1,0,1,"2015-2021","0.7%",NA,2.48,2.5,0.93,1,4,0,2,7,29,"vars_pfm","Public Finance Institutions"
"wb_pefa_pi_2016_25",61,7,1,0,1,"2015-2021","0.7%",NA,3.01,3,0.75,1.5,4,0,2,7,29,"vars_pfm","Public Finance Institutions"
"wb_pefa_pi_2016_26",61,7,1,0,1,"2015-2021","0.7%",NA,2.05,1.5,0.75,1,4,0,2,7,29,"vars_pfm","Public Finance Institutions"
"wb_pefa_pi_2016_27",61,7,1,0,1,"2015-2021","0.7%",NA,2.52,2.5,0.97,1,4,0,2,7,29,"vars_pfm","Public Finance Institutions"
"wb_pefa_pi_2016_28",61,7,1,0,1,"2015-2021","0.7%",NA,2.1,1.5,0.88,1,4,0,2,7,29,"vars_pfm","Public Finance Institutions"
"wb_pefa_pi_2016_29",61,7,1,0,1,"2015-2021","0.7%",NA,2.07,2,0.64,1,4,0,2,7,29,"vars_pfm","Public Finance Institutions"
"wb_pefa_pi_2016_30",61,7,1,0,1,"2015-2021","0.7%",NA,2.02,1.5,0.77,1,4,0,2,7,29,"vars_pfm","Public Finance Institutions"
"wb_debt_transp_index",77,6,1,0,1,"2020-2025","100%","100%",2.53,2.78,0.95,1,4.11,5,3,75,77,"vars_pfm","Public Finance Institutions"
"oecd_epl_regular",42,13,1,0,1,"2013-2025","100%","100%",2.21,2.3324111,0.6,0.63690478,6,5,5,39,42,"vars_lab","Labor and Social Protection Institutions"
"oecd_epl_temporary",38,13,1,0,1,"2013-2025","93.3%","97.3%",1.6,1.5694444,0.69,0.18166666,3.5555556,5,5,38,38,"vars_lab","Labor and Social Protection Institutions"
"wb_gfdb_oi_01",177,22,1,1,1,"2000-2021","48.6%",NA,70.14,70.383325,19.72,16.1444,100,1,3,136,168,"vars_mkt","Business Environment"
"wb_pefa_pi_2016_05",81,11,1,0,1,"2016-2026","100%","100%",2.82,3,0.94,1,4,3,3,53,46,"vars_pfm","Public Finance Institutions"
"wb_pefa_pi_2016_07",72,11,1,0,1,"2016-2026","85.1%","91.7%",2.53,2.5,0.96,1,4,3,2,45,39,"vars_pfm","Public Finance Institutions"
"wb_pefa_pi_2016_08",76,11,1,0,1,"2016-2026","92.1%","100%",1.9,1.5,0.76,1,4,3,2,48,41,"vars_pfm","Public Finance Institutions"
"wb_pefa_pi_2016_10",81,11,1,0,1,"2016-2026","99.1%","100%",1.81,1.5,0.72,1,4,3,3,52,46,"vars_pfm","Public Finance Institutions"
"wb_pefa_pi_2016_11",78,11,1,0,1,"2016-2026","96.5%","100%",1.85,1.5,0.68,1,4,3,3,51,45,"vars_pfm","Public Finance Institutions"
"wb_pefa_pi_2016_12",79,11,1,0,1,"2016-2026","97.4%","100%",1.92,1.5,0.65,1,4,3,3,50,44,"vars_pfm","Public Finance Institutions"
"wb_pefa_pi_2016_13",73,11,1,0,1,"2016-2026","86.8%","100%",2.85,3,0.98,1,4,3,2,46,39,"vars_pfm","Public Finance Institutions"
"wb_pefa_pi_2016_14",76,11,1,0,1,"2016-2026","90.4%","91.7%",2.4,2.5,0.89,1,4,3,2,48,41,"vars_pfm","Public Finance Institutions"
"wb_pefa_pi_2016_15",77,11,1,0,1,"2016-2026","93.9%","83.3%",2.21,2,0.84,1,4,2,3,47,43,"vars_pfm","Public Finance Institutions"
"wb_pefa_pi_2016_16",79,10,1,0,1,"2016-2025","93%","83.3%",1.85,1.5,0.77,1,4,3,3,48,42,"vars_pfm","Public Finance Institutions"
"wb_pefa_pi_2016_17",75,10,1,0,1,"2016-2025","89.5%","91.7%",2.79,3,0.83,1,4,3,3,49,41,"vars_pfm","Public Finance Institutions"
"wb_pefa_pi_2016_18",64,10,1,0,1,"2016-2025","70.2%","75%",2.36,2.5,0.82,1,4,1,1,40,37,"vars_pfm","Public Finance Institutions"
"wb_pefa_pi_2016_19",75,11,1,0,1,"2016-2026","89.5%","91.7%",2.27,2.5,0.68,1,4,3,2,46,40,"vars_pfm","Public Finance Institutions"
"wb_pefa_pi_2016_20",77,11,1,0,1,"2016-2026","89.5%","91.7%",2.62,2.5,0.98,1,4,3,2,50,42,"vars_pfm","Public Finance Institutions"
"wb_pefa_pi_2016_21",68,11,1,0,1,"2016-2026","74.6%","75%",2.75,2.5,0.79,1,4,0,1,37,34,"vars_pfm","Public Finance Institutions"
"wb_pefa_pi_2016_22",76,11,1,0,1,"2016-2026","92.1%","100%",1.81,1.5,1.05,1,4,3,3,49,42,"vars_pfm","Public Finance Institutions"
"wb_pefa_pi_2016_23",73,11,1,0,1,"2016-2026","86%","91.7%",2.06,1.5,0.8,1,4,2,1,45,39,"vars_pfm","Public Finance Institutions"
"wb_pefa_pi_2016_24",76,10,1,0,1,"2016-2025","84.2%","83.3%",2.2,2,0.92,1,4,3,2,47,42,"vars_pfm","Public Finance Institutions"
"wb_pefa_pi_2016_25",71,11,1,0,1,"2016-2026","81.6%","75%",2.96,3,0.86,1,4,1,1,42,37,"vars_pfm","Public Finance Institutions"
"wb_pefa_pi_2016_26",79,11,1,0,1,"2016-2026","90.4%","91.7%",1.86,1.5,0.69,1,4,3,3,47,43,"vars_pfm","Public Finance Institutions"
"wb_pefa_pi_2016_27",73,11,1,0,1,"2016-2026","84.2%","91.7%",2.46,2.5,0.93,1,4,2,1,43,39,"vars_pfm","Public Finance Institutions"
"wb_pefa_pi_2016_28",71,11,1,0,1,"2016-2026","85.1%","91.7%",1.88,1.5,0.67,1,4,3,2,44,38,"vars_pfm","Public Finance Institutions"
"wb_pefa_pi_2016_29",80,11,1,0,1,"2016-2026","93%","83.3%",1.95,1.5,0.56,1,4,2,2,48,43,"vars_pfm","Public Finance Institutions"
"wb_pefa_pi_2016_30",75,11,1,0,1,"2016-2026","90.4%","91.7%",1.82,1.5,0.58,1,4,3,2,47,42,"vars_pfm","Public Finance Institutions"
"oecd_pmr_2018_1_3",47,2,1,0,1,"2018-2023","100%",NA,2.38,2.22916672241114,1.21,0.636363647087958,5.74999983654807,1,1,47,47,"vars_soe","SOE Corporate Governance"
"oecd_pmr_2018_1_4",47,2,1,0,1,"2018-2023","100%",NA,1.84,1.72368425130844,0.9,0.157894730567932,4.32499980926514,1,1,47,47,"vars_soe","SOE Corporate Governance"
"oecd_pmr_2018_2_1",47,2,1,0,1,"2018-2023","100%",NA,1.25,1.14379090070724,0.85,0,4,1,1,47,47,"vars_soe","SOE Corporate Governance"
"oecd_pmr_2018_2_2_1",47,2,1,0,1,"2018-2023","100%",NA,1.39,1.18333333730698,0.71,0.388888895511627,3.6875,1,1,47,47,"vars_soe","SOE Corporate Governance"
"oecd_pmr_2018_2_2_2",47,2,1,0,1,"2018-2023","100%",NA,1.51,1.40277779102326,0.76,0.188888892531395,3.53921580314636,1,1,47,47,"vars_soe","SOE Corporate Governance"
"vdem_core_v2cacamps",174,36,1,1,1,"1990-2025","99.7%","98.3%",-0.22,-0.251,1.38,-3.813,3.94,5,5,174,174,"vars_social","Social Institutions"
"vdem_core_v2clacfree",174,36,1,1,1,"1990-2025","100%","100%",0.94,1.181,1.51,-3.327,3.632,5,5,174,174,"vars_social","Social Institutions"
"vdem_core_v2clacjstm",174,36,1,1,1,"1990-2025","100%","100%",0.81,0.813,1.36,-3.136,3.796,5,5,174,174,"vars_leg","Justice Institutions"
"vdem_core_v2clacjstw",174,36,1,1,1,"1990-2025","100%","100%",0.86,0.879,1.33,-3.41,3.944,5,5,174,174,"vars_leg","Justice Institutions"
"vdem_core_v2cldiscm",174,36,1,1,1,"1990-2025","100%","100%",0.96,1.203,1.46,-3.676,3.614,5,5,174,174,"vars_social","Social Institutions"
"vdem_core_v2cldiscw",174,36,1,1,1,"1990-2025","100%","100%",0.89,1.135,1.4,-3.785,3.471,5,5,174,174,"vars_social","Social Institutions"
"vdem_core_v2clrspct",174,36,1,1,1,"1990-2025","100%","100%",0.42,0.25,1.49,-3.616,4.012,5,5,174,174,"vars_hrm","Public Human Resource Management Institutions"
"vdem_core_v2cseeorgs",174,36,1,1,1,"1990-2025","100%","100%",0.98,1.356,1.42,-3.273,3.659,5,5,174,174,"vars_social","Social Institutions"
"vdem_core_v2csreprss",174,36,1,1,1,"1990-2025","100%","100%",0.93,1.118,1.47,-3.183,3.336,5,5,174,174,"vars_social","Social Institutions"
"vdem_core_v2dlengage",174,36,1,1,1,"1990-2025","100%","100%",0.84,1,1.21,-3.079,3.52,5,5,174,174,"vars_social","Social Institutions"
"vdem_core_v2juaccnt",174,36,1,1,1,"1990-2025","100%","99.4%",0.62,0.6285,1.2,-2.713,3.879,5,5,174,174,"vars_leg","Justice Institutions"
"vdem_core_v2juhcind",174,36,1,1,1,"1990-2025","99.8%","100%",0.37,0.58,1.43,-3.523,3.488,5,5,174,174,"vars_leg","Justice Institutions"
"vdem_core_v2juncind",174,36,1,1,1,"1990-2025","100%","100%",0.52,0.704,1.37,-3.316,3.189,5,5,174,174,"vars_leg","Justice Institutions"
"vdem_core_v2lgcrrpt",174,36,1,1,1,"1990-2025","96.2%","94.3%",-0.09,-0.289,1.35,-3.134,3.777,5,5,171,172,"vars_anticorruption","Degree of Integrity"
"vdem_core_v2lgqugen",173,36,1,1,1,"1990-2025","98.4%","98.3%",0.75,0,1.35,0,4,5,5,173,173,"vars_pol","Political Institutions"
"vdem_core_v2peapsecon",174,34,1,1,1,"1990-2023","94.3%","0%",0.52,0.461,1.43,-2.947,3.632,3,4,174,174,"vars_service_delivery","Service Delivery Institutions"
"vdem_core_v2peapsgen",174,34,1,1,1,"1990-2023","94.3%","0%",0.71,0.538,1.34,-3.279,3.29,3,4,174,174,"vars_service_delivery","Service Delivery Institutions"
"vdem_core_v2peapspol",174,34,1,1,1,"1990-2023","94.3%","0%",1.08,1.198,1.23,-2.342,3.203,3,4,174,174,"vars_service_delivery","Service Delivery Institutions"
"vdem_core_v2peasjpol",174,34,1,1,1,"1990-2023","94.3%","0%",0.67,0.642,1.45,-2.682,3.695,3,4,174,174,"vars_hrm","Public Human Resource Management Institutions"
"vdem_core_v2peasjsoecon",174,34,1,1,1,"1990-2023","94.3%","0%",0.93,0.975,1.22,-2.232,3.459,3,4,174,174,"vars_hrm","Public Human Resource Management Institutions"
"vdem_core_v2pepwrgen",174,36,1,1,1,"1990-2025","100%","100%",0.85,0.932,1.09,-2.824,3.964,5,5,174,174,"vars_pol","Political Institutions"
"vdem_core_v2pepwrses",174,36,1,1,1,"1990-2025","100%","100%",0.45,0.645,1.03,-2.936,2.933,5,5,174,174,"vars_pol","Political Institutions"
"vdem_core_v2pepwrsoc",174,36,1,1,1,"1990-2025","100%","100%",0.77,0.932,1.17,-2.743,3.3,5,5,174,174,"vars_pol","Political Institutions"
"vdem_core_v2stcritrecadm",174,36,1,1,1,"1990-2025","98.1%","100%",0.39,0.39,1.13,-2.917,3.584,5,5,174,174,"vars_hrm","Public Human Resource Management Institutions"
"vdem_core_v2x_cspart",174,36,1,1,1,"1990-2025","100%","100%",0.64,0.708,0.25,0.031,0.987,5,5,174,174,"vars_social","Social Institutions"
"vdem_core_v2x_execorr",174,36,1,1,1,"1990-2025","99.8%","100%",0.5,0.57,0.31,0.003,0.979,5,5,174,174,"vars_anticorruption","Degree of Integrity"
"vdem_core_v2x_gender",174,36,1,1,1,"1990-2025","99%","100%",0.69,0.733,0.2,0.021,0.961,5,5,174,174,"vars_pol","Political Institutions"
"vdem_core_v2x_pubcorr",174,36,1,1,1,"1990-2025","99.8%","100%",0.48,0.51,0.3,0.001,0.99,5,5,174,174,"vars_anticorruption","Degree of Integrity"
"vdem_core_v2xcl_prpty",174,36,1,1,1,"1990-2025","100%","100%",0.7,0.761,0.22,0.003,0.968,5,5,174,174,"vars_mkt","Business Environment"
"vdem_core_v2xlg_legcon",174,36,1,1,1,"1990-2025","98.5%","96.6%",0.58,0.659,0.3,0.02,0.989,5,5,174,174,"vars_pol","Political Institutions"
"wdi_sepretcaqzs",0,0,0,0,0,"Inf--Inf","0%","0%",NA,NA,NA,Inf,-Inf,0,0,0,0,"vars_service_delivery","Service Delivery Institutions"
"wdi_seprmenrltczs",0,0,0,0,0,"Inf--Inf","0%","0%",NA,NA,NA,Inf,-Inf,0,0,0,0,"vars_service_delivery","Service Delivery Institutions"
"wdi_seprmtcaqzs",0,0,0,0,0,"Inf--Inf","0%","0%",NA,NA,NA,Inf,-Inf,0,0,0,0,"vars_service_delivery","Service Delivery Institutions"
"wdi_sesecenrltczs",0,0,0,0,0,"Inf--Inf","0%","0%",NA,NA,NA,Inf,-Inf,0,0,0,0,"vars_service_delivery","Service Delivery Institutions"
"wdi_sesectcaqzs",0,0,0,0,0,"Inf--Inf","0%","0%",NA,NA,NA,Inf,-Inf,0,0,0,0,"vars_service_delivery","Service Delivery Institutions"
"wdi_shstaanvczs",0,0,0,0,0,"Inf--Inf","0%","0%",NA,NA,NA,Inf,-Inf,0,0,0,0,"vars_service_delivery","Service Delivery Institutions"
"wdi_shstabrtczs",0,0,0,0,0,"Inf--Inf","0%","0%",NA,NA,NA,Inf,-Inf,0,0,0,0,"vars_service_delivery","Service Delivery Institutions"
"wdi_spregbrthzs",0,0,0,0,0,"Inf--Inf","0%","0%",NA,NA,NA,Inf,-Inf,0,0,0,0,"vars_service_delivery","Service Delivery Institutions"
